area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1988,26,Total Covered,All Industries,2210,24993,346958826,13882
01003,1988,27,Federal Government,All Industries,10,183,4500200,24591
01003,1988,27,State Government,All Industries,19,797,12312617,15448
01003,1988,27,Local Government,All Industries,33,3656,58930930,16118
01003,1988,27,Private,All Industries,2148,20358,271215079,13322
01097,1988,26,Total Covered,All Industries,8138,137283,2647746060,19286
01097,1988,27,Federal Government,All Industries,29,2929,84676454,28909
01097,1988,27,State Government,All Industries,33,7119,148146878,20810
01097,1988,27,Local Government,All Industries,43,11926,214861724,18016
01097,1988,27,Private,All Industries,8032,115309,2200061004,19079
02013,1988,26,Total Covered,All Industries,50,1015,24521532,24159
02013,1988,27,Federal Government,All Industries,5,29,1093925,37721
02013,1988,27,State Government,All Industries,0,0,0,0
02013,1988,27,Local Government,All Industries,9,182,5049554,27744
02013,1988,27,Private,All Industries,36,804,18375638,22855
02016,1988,26,Total Covered,All Industries,144,3112,82774972,26598
02016,1988,27,Federal Government,All Industries,15,796,12605869,15836
02016,1988,27,State Government,All Industries,9,78,2079868,26664
02016,1988,27,Local Government,All Industries,8,319,9787290,30681
02016,1988,27,Private,All Industries,112,1918,58301945,30397
02020,1988,26,Total Covered,All Industries,5824,98364,2824493784,28714
02020,1988,27,Federal Government,All Industries,64,10263,321281810,31304
02020,1988,27,State Government,All Industries,31,6639,223140131,33610
02020,1988,27,Local Government,All Industries,5,7696,302627334,39322
02020,1988,27,Private,All Industries,5724,73766,1977444509,26806
02050,1988,26,Total Covered,All Industries,268,4084,87190962,21349
02050,1988,27,Federal Government,All Industries,15,290,8731302,30107
02050,1988,27,State Government,All Industries,18,271,10983120,40528
02050,1988,27,Local Government,All Industries,38,1632,35916023,22007
02050,1988,27,Private,All Industries,198,1891,31560517,16689
02060,1988,26,Total Covered,All Industries,79,986,24496896,24844
02060,1988,27,Federal Government,All Industries,8,88,2183687,24814
02060,1988,27,State Government,All Industries,8,38,1305615,34358
02060,1988,27,Local Government,All Industries,6,256,6289936,24570
02060,1988,27,Private,All Industries,57,604,14717658,24366
02070,1988,26,Total Covered,All Industries,207,2207,49920568,22619
02070,1988,27,Federal Government,All Industries,11,86,2766026,32163
02070,1988,27,State Government,All Industries,12,64,2589644,40463
02070,1988,27,Local Government,All Industries,24,465,10430384,22430
02070,1988,27,Private,All Industries,159,1592,34134514,21441
02100,1988,26,Total Covered,All Industries,101,1123,33985781,30263
02100,1988,27,Federal Government,All Industries,3,9,329181,36575
02100,1988,27,State Government,All Industries,0,0,0,0
02100,1988,27,Local Government,All Industries,3,94,2849957,30318
02100,1988,27,Private,All Industries,87,983,29520979,30031
