area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1994,70,Total Covered,"Total, all industries",3054,35569,628859575,17680
01003,1994,71,Federal Government,"Total, all industries",31,220,7321647,33230
01003,1994,71,State Government,"Total, all industries",26,1013,21622236,21336
01003,1994,71,Local Government,"Total, all industries",83,5139,108367404,21086
01003,1994,71,Private,"Total, all industries",2915,29196,491548288,16836
01097,1994,70,Total Covered,"Total, all industries",9187,159681,3817702859,23908
01097,1994,71,Federal Government,"Total, all industries",52,2817,110383401,39192
01097,1994,71,State Government,"Total, all industries",48,8943,247741811,27702
01097,1994,71,Local Government,"Total, all industries",51,13687,301444284,22024
01097,1994,71,Private,"Total, all industries",9037,134234,3158133363,23527
02013,1994,70,Total Covered,"Total, all industries",82,1520,37033388,24369
02013,1994,71,Federal Government,"Total, all industries",8,25,922600,37529
02013,1994,71,Private,"Total, all industries",55,1258,29787703,23679
02016,1994,70,Total Covered,"Total, all industries",192,4524,133556071,29521
02016,1994,71,Federal Government,"Total, all industries",17,442,8683020,19667
02016,1994,71,State Government,"Total, all industries",15,36,1286723,35992
02016,1994,71,Local Government,"Total, all industries",7,430,17530904,40817
02016,1994,71,Private,"Total, all industries",152,3617,106055424,29319
02020,1994,70,Total Covered,"Total, all industries",6734,117977,4023260958,34102
02020,1994,71,Federal Government,"Total, all industries",84,11112,437577144,39379
02020,1994,71,Private,"Total, all industries",6595,90726,2881946086,31765
02050,1994,70,Total Covered,"Total, all industries",305,5128,129231119,25201
02050,1994,71,Federal Government,"Total, all industries",15,157,5991111,38140
02050,1994,71,State Government,"Total, all industries",27,301,15243325,50600
02050,1994,71,Local Government,"Total, all industries",32,1538,39253611,25520
02050,1994,71,Private,"Total, all industries",231,3132,68743072,21952
02060,1994,70,Total Covered,"Total, all industries",97,1110,33092152,29822
02060,1994,71,Federal Government,"Total, all industries",10,85,2513942,29432
02060,1994,71,Private,"Total, all industries",74,690,19437467,28170
02070,1994,70,Total Covered,"Total, all industries",154,2076,55029962,26514
02070,1994,71,Federal Government,"Total, all industries",6,56,1893826,34123
02070,1994,71,State Government,"Total, all industries",18,58,2798681,47909
02070,1994,71,Local Government,"Total, all industries",11,407,11824927,29054
02070,1994,71,Private,"Total, all industries",119,1555,38512528,24774
02100,1994,70,Total Covered,"Total, all industries",110,830,21500035,25919
02100,1994,71,Federal Government,"Total, all industries",3,10,463434,47129
02100,1994,71,State Government,"Total, all industries",8,37,1521259,41678
