area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1976,26,Total Covered,All Industries,0,0,0,0
01003,1976,27,Federal Government,All Industries,17,92,1173806,12758
01003,1976,27,State Government,All Industries,0,0,0,0
01003,1976,27,Private,All Industries,1305,12769,95630264,7489
01097,1976,26,Total Covered,All Industries,5899,98679,999126019,10125
01097,1976,27,Federal Government,All Industries,26,2069,32985137,15942
01097,1976,27,State Government,All Industries,4,3491,33040062,9464
01097,1976,27,Private,All Industries,5869,93119,933100820,10020
02020,1976,26,Total Covered,All Industries,3634,64535,1256429822,19468
02020,1976,27,Federal Government,All Industries,65,9803,167079253,17043
02020,1976,27,State Government,All Industries,0,0,0,0
02020,1976,27,Local Government,All Industries,0,0,0,0
02020,1976,27,Private,All Industries,3565,53660,1071811956,19974
02050,1976,26,Total Covered,All Industries,134,1477,16584055,11228
02050,1976,27,Federal Government,All Industries,28,434,5937798,13681
02050,1976,27,State Government,All Industries,0,0,0,0
02050,1976,27,Local Government,All Industries,0,0,0,0
02050,1976,27,Private,All Industries,98,894,8945822,10006
02060,1976,26,Total Covered,All Industries,0,0,0,0
02060,1976,27,Federal Government,All Industries,6,112,1600554,14290
02060,1976,27,Local Government,All Industries,0,0,0,0
02060,1976,27,Private,All Industries,34,417,6685739,16032
02070,1976,26,Total Covered,All Industries,72,540,7753371,14358
02070,1976,27,Federal Government,All Industries,11,85,1291341,15192
02070,1976,27,State Government,All Industries,0,0,0,0
02070,1976,27,Local Government,All Industries,0,0,0,0
02070,1976,27,Private,All Industries,59,445,6293257,14142
02100,1976,26,Total Covered,All Industries,0,0,0,0
02100,1976,27,Federal Government,All Industries,5,26,414451,15940
02100,1976,27,Local Government,All Industries,0,0,0,0
02100,1976,27,Private,All Industries,57,305,4043049,13255
02110,1976,26,Total Covered,All Industries,504,5812,95681877,16462
02110,1976,27,Federal Government,All Industries,28,1083,19954042,18424
02110,1976,27,State Government,All Industries,3,739,15931651,21558
02110,1976,27,Private,All Industries,473,3990,59796184,14986
02130,1976,26,Total Covered,All Industries,422,4312,71341842,16544
02130,1976,27,Federal Government,All Industries,7,189,3080668,16299
02130,1976,27,State Government,All Industries,3,251,6872536,27380
02130,1976,27,Private,All Industries,412,3872,61388638,15854
02150,1976,26,Total Covered,All Industries,502,3748,57939374,15458
02150,1976,27,Federal Government,All Industries,12,277,5567450,20099
02150,1976,27,State Government,All Industries,0,0,0,0
02150,1976,27,Local Government,All Industries,0,0,0,0
02150,1976,27,Private,All Industries,486,3428,51859794,15128
02170,1976,26,Total Covered,All Industries,263,1439,23593297,16395
02170,1976,27,Federal Government,All Industries,20,129,2507443,19437
02170,1976,27,State Government,All Industries,0,0,0,0
02170,1976,27,Local Government,All Industries,0,0,0,0
02170,1976,27,Private,All Industries,240,1217,19604202,16108
02180,1976,26,Total Covered,All Industries,144,1405,21708575,15450
02180,1976,27,Federal Government,All Industries,23,199,3212923,16145
02180,1976,27,State Government,All Industries,0,0,0,0
02180,1976,27,Local Government,All Industries,0,0,0,0
02180,1976,27,Private,All Industries,113,1179,18177325,15417
02220,1976,26,Total Covered,All Industries,217,2614,44008430,16835
02220,1976,27,Federal Government,All Industries,9,495,7131357,14406
02220,1976,27,State Government,All Industries,0,0,0,0
02220,1976,27,Local Government,All Industries,0,0,0,0
02220,1976,27,Private,All Industries,206,2102,36640026,17431
02230,1976,26,Total Covered,All Industries,116,644,7191268,11166
02230,1976,27,Federal Government,All Industries,14,59,1013943,17185
02230,1976,27,Local Government,All Industries,5,61,646949,10605
02230,1976,27,Private,All Industries,97,524,5530376,10554
02270,1976,26,Total Covered,All Industries,54,474,9280372,19578
02270,1976,27,Federal Government,All Industries,14,160,2370305,14814
02270,1976,27,Local Government,All Industries,3,23,166154,7224
02270,1976,27,Private,All Industries,37,291,6743913,23174
06001,1976,26,Total Covered,All Industries,18255,395793,4872966323,12311
06001,1976,27,Federal Government,All Industries,43,23929,371881861,15541
06001,1976,27,State Government,All Industries,135,35839,508537171,14189
06001,1976,27,Local Government,All Industries,31,14004,116887423,8346
06001,1976,27,Private,All Industries,18046,322021,3875659868,12035
06013,1976,26,Total Covered,All Industries,8593,136220,1572938890,11547
06013,1976,27,Federal Government,All Industries,17,5369,78906927,14696
06013,1976,27,State Government,All Industries,40,723,12995071,17973
06013,1976,27,Local Government,All Industries,28,7542,63316656,8395
06013,1976,27,Private,All Industries,8508,122586,1417720236,11565
06015,1976,26,Total Covered,All Industries,396,4290,42146089,9824
06015,1976,27,Federal Government,All Industries,7,162,2044132,12618
06015,1976,27,State Government,All Industries,0,0,0,0
06015,1976,27,Local Government,All Industries,0,0,0,0
06015,1976,27,Private,All Industries,380,3807,37732825,9911
06023,1976,26,Total Covered,All Industries,2622,31681,331547523,10465
06023,1976,27,Federal Government,All Industries,15,727,9880025,13590
06023,1976,27,State Government,All Industries,106,2004,31823266,15879
06023,1976,27,Local Government,All Industries,39,1247,7739558,6206
06023,1976,27,Private,All Industries,2462,27703,282104674,10183
06037,1976,26,Total Covered,All Industries,131349,2791732,32779756817,11741
06037,1976,27,Federal Government,All Industries,80,69846,1076695789,15415
06037,1976,27,State Government,All Industries,901,49250,722071626,14661
06037,1976,27,Local Government,All Industries,118,69473,608327807,8756
06037,1976,27,Private,All Industries,130250,2603163,30372661595,11667
06041,1976,26,Total Covered,All Industries,4611,47040,468193258,9953
06041,1976,27,Federal Government,All Industries,15,1031,15850585,15373
06041,1976,27,State Government,All Industries,34,923,19459422,21082
06041,1976,27,Local Government,All Industries,24,2698,24546081,9097
06041,1976,27,Private,All Industries,4538,42388,408337170,9633
06045,1976,26,Total Covered,All Industries,1702,16809,154051642,9164
06045,1976,27,Federal Government,All Industries,14,453,5442106,12013
06045,1976,27,State Government,All Industries,26,342,6439174,18827
06045,1976,27,Local Government,All Industries,14,830,5438425,6552
06045,1976,27,Private,All Industries,1648,15184,136731937,9005
06053,1976,26,Total Covered,All Industries,5471,82885,782573838,9441
06053,1976,27,Federal Government,All Industries,21,7001,82189417,11739
06053,1976,27,State Government,All Industries,95,1464,29692108,20281
06053,1976,27,Local Government,All Industries,31,3015,20461112,6786
06053,1976,27,Private,All Industries,5324,71405,650231201,9106
06055,1976,26,Total Covered,All Industries,2013,23289,227802072,9781
06055,1976,27,Federal Government,All Industries,9,227,3487638,15364
06055,1976,27,State Government,All Industries,82,2816,49453867,17561
06055,1976,27,Local Government,All Industries,10,954,5720806,5996
06055,1976,27,Private,All Industries,1912,19292,169139761,8767
06059,1976,26,Total Covered,All Industries,28225,549755,5898573796,10729
06059,1976,27,Federal Government,All Industries,28,10284,141303075,13740
06059,1976,27,State Government,All Industries,95,10137,140181388,13828
06059,1976,27,Local Government,All Industries,43,16425,113535946,6912
06059,1976,27,Private,All Industries,28059,512909,5503553387,10730
06073,1976,26,Total Covered,All Industries,25087,443973,4632426618,10434
06073,1976,27,Federal Government,All Industries,99,39083,520894017,13327
06073,1976,27,State Government,All Industries,227,15673,204652158,13057
06073,1976,27,Local Government,All Industries,55,16250,130020038,8001
06073,1976,27,Private,All Industries,24706,372967,3776860405,10126
06075,1976,26,Total Covered,All Industries,19870,440498,5792051735,13148
06075,1976,27,Federal Government,All Industries,75,30836,471114408,15278
