area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1990,70,Total Covered,"Total, all industries",2339,27710,421463754,15210
01003,1990,71,Federal Government,"Total, all industries",12,209,5204363,24852
01003,1990,71,State Government,"Total, all industries",20,926,15480425,16716
01003,1990,71,Local Government,"Total, all industries",33,4051,72134229,17808
01003,1990,71,Private,"Total, all industries",2273,22524,328644737,14591
01097,1990,70,Total Covered,"Total, all industries",8152,144429,3008559075,20831
01097,1990,71,Federal Government,"Total, all industries",33,2998,94823588,31633
01097,1990,71,State Government,"Total, all industries",34,8084,175094760,21659
01097,1990,71,Local Government,"Total, all industries",46,12387,245544782,19823
01097,1990,71,Private,"Total, all industries",8040,120961,2493095945,20611
02013,1990,70,Total Covered,"Total, all industries",57,1426,33024451,23159
02013,1990,71,Federal Government,"Total, all industries",6,30,1158182,39040
02013,1990,71,Private,"Total, all industries",43,1202,26872892,22365
02016,1990,70,Total Covered,"Total, all industries",167,3793,106398129,28053
02016,1990,71,Federal Government,"Total, all industries",16,732,13766632,18809
02016,1990,71,State Government,"Total, all industries",9,82,2367666,28903
02016,1990,71,Local Government,"Total, all industries",8,417,12122483,29100
02016,1990,71,Private,"Total, all industries",134,2562,78141348,30496
02020,1990,70,Total Covered,"Total, all industries",5958,109585,3388076542,30917
02020,1990,71,Federal Government,"Total, all industries",63,10372,351014729,33841
02020,1990,71,Private,"Total, all industries",5858,83503,2461715156,29481
02050,1990,70,Total Covered,"Total, all industries",265,4529,104150403,22994
02050,1990,71,Federal Government,"Total, all industries",15,288,9746375,33851
02050,1990,71,State Government,"Total, all industries",21,318,13785740,43351
02050,1990,71,Local Government,"Total, all industries",40,1704,39679282,23287
02050,1990,71,Private,"Total, all industries",190,2220,40939006,18444
02060,1990,70,Total Covered,"Total, all industries",84,1029,28245081,27454
02060,1990,71,Federal Government,"Total, all industries",9,88,2536253,28848
02060,1990,71,Private,"Total, all industries",61,604,16162387,26752
02070,1990,70,Total Covered,"Total, all industries",206,2319,54267557,23403
02070,1990,71,Federal Government,"Total, all industries",10,89,2836760,31784
02070,1990,71,State Government,"Total, all industries",15,67,2881758,42798
02070,1990,71,Local Government,"Total, all industries",25,461,10696354,23190
02070,1990,71,Private,"Total, all industries",156,1701,37852685,22253
02100,1990,70,Total Covered,"Total, all industries",102,905,22986784,25393
02100,1990,71,Federal Government,"Total, all industries",3,9,350552,39314
02100,1990,71,State Government,"Total, all industries",9,41,1453463,35450
02100,1990,71,Local Government,"Total, all industries",3,135,3020630,22417
02100,1990,71,Private,"Total, all industries",87,721,18162139,25205
02110,1990,70,Total Covered,"Total, all industries",846,13924,398663313,28631
02110,1990,71,Federal Government,"Total, all industries",25,1406,48498486,34498
02110,1990,71,State Government,"Total, all industries",26,4431,164178964,37049
02110,1990,71,Local Government,"Total, all industries",4,1465,47836763,32646
02110,1990,71,Private,"Total, all industries",791,6622,138149100,20863
02122,1990,70,Total Covered,"Total, all industries",1262,13716,402951858,29379
02122,1990,71,Federal Government,"Total, all industries",28,285,9966509,35001
02122,1990,71,State Government,"Total, all industries",38,1072,39065687,36442
02122,1990,71,Local Government,"Total, all industries",21,2000,62126985,31057
02122,1990,71,Private,"Total, all industries",1176,10358,291792677,28170
02130,1990,70,Total Covered,"Total, all industries",491,7795,225924517,28984
02130,1990,71,Federal Government,"Total, all industries",13,288,10139556,35268
02130,1990,71,State Government,"Total, all industries",17,530,19658118,37091
02130,1990,71,Local Government,"Total, all industries",8,952,29463540,30963
02130,1990,71,Private,"Total, all industries",453,6026,166663303,27659
02150,1990,70,Total Covered,"Total, all industries",406,5690,128753026,22630
02150,1990,71,Federal Government,"Total, all industries",7,162,5898415,36447
02150,1990,71,State Government,"Total, all industries",18,282,10424769,37033
02150,1990,71,Local Government,"Total, all industries",10,651,18852738,28974
02150,1990,71,Private,"Total, all industries",370,4596,93577104,20363
02170,1990,70,Total Covered,"Total, all industries",724,6943,176343262,25397
02170,1990,71,Federal Government,"Total, all industries",16,104,3453126,33256
02170,1990,71,State Government,"Total, all industries",24,812,28452208,35058
02170,1990,71,Local Government,"Total, all industries",5,1482,44968969,30345
02170,1990,71,Private,"Total, all industries",679,4546,99468959,21881
02180,1990,70,Total Covered,"Total, all industries",226,2825,73339087,25958
02180,1990,71,Federal Government,"Total, all industries",14,98,3490236,35675
02180,1990,71,State Government,"Total, all industries",18,230,10468151,45563
02180,1990,71,Local Government,"Total, all industries",25,950,22660398,23864
02180,1990,71,Private,"Total, all industries",169,1548,36720302,23720
02185,1990,70,Total Covered,"Total, all industries",169,7513,399649118,53194
02185,1990,71,Federal Government,"Total, all industries",7,107,2701156,25244
02185,1990,71,State Government,"Total, all industries",11,32,1271355,39627
02185,1990,71,Local Government,"Total, all industries",10,1727,72359276,41911
02185,1990,71,Private,"Total, all industries",141,5648,323317331,57250
02188,1990,70,Total Covered,"Total, all industries",112,2160,64489886,29856
02188,1990,71,Federal Government,"Total, all industries",9,79,2565270,32472
02188,1990,71,State Government,"Total, all industries",16,82,3676441,44653
02188,1990,71,Local Government,"Total, all industries",20,819,19516740,23840
02188,1990,71,Private,"Total, all industries",68,1180,38731435,32823
02220,1990,70,Total Covered,"Total, all industries",320,4070,103535897,25441
02220,1990,71,Federal Government,"Total, all industries",8,259,8827645,34051
02220,1990,71,Private,"Total, all industries",291,3065,71671985,23383
02261,1990,70,Total Covered,"Total, all industries",442,4599,148722902,32339
02261,1990,71,Federal Government,"Total, all industries",17,114,3791135,33207
02261,1990,71,State Government,"Total, all industries",32,560,20316480,36296
02261,1990,71,Local Government,"Total, all industries",10,722,21242945,29409
02261,1990,71,Private,"Total, all industries",384,3203,103372342,32277
02270,1990,70,Total Covered,"Total, all industries",98,1261,23148139,18355
02270,1990,71,Federal Government,"Total, all industries",7,25,469573,18909
02270,1990,71,State Government,"Total, all industries",9,26,843719,32451
02270,1990,71,Local Government,"Total, all industries",19,813,16973689,20867
02270,1990,71,Private,"Total, all industries",63,397,4861158,12247
06001,1990,70,Total Covered,"Total, all industries",30484,595141,16223497252,27260
06001,1990,71,Federal Government,"Total, all industries",107,21522,669296234,31099
06001,1990,71,State Government,"Total, all industries",309,37036,1126132024,30407
06001,1990,71,Local Government,"Total, all industries",136,58382,1820072579,31175
06001,1990,71,Private,"Total, all industries",29932,478202,12607996415,26365
06013,1990,70,Total Covered,"Total, all industries",18462,297074,8109698289,27299
06013,1990,71,Federal Government,"Total, all industries",49,6827,236145528,34588
06013,1990,71,State Government,"Total, all industries",35,669,22057316,32954
06013,1990,71,Local Government,"Total, all industries",99,35253,972350486,27582
06013,1990,71,Private,"Total, all industries",18279,254324,6879144959,27049
06015,1990,70,Total Covered,"Total, all industries",657,6634,140278381,21145
06015,1990,71,Federal Government,"Total, all industries",11,163,4489049,27597
06015,1990,71,State Government,"Total, all industries",30,1094,42407805,38776
06015,1990,71,Local Government,"Total, all industries",18,1043,22098703,21183
06015,1990,71,Private,"Total, all industries",598,4335,71282824,16445
06023,1990,70,Total Covered,"Total, all industries",4145,44385,890333981,20059
06023,1990,71,Federal Government,"Total, all industries",45,926,24233429,26170
06023,1990,71,State Government,"Total, all industries",267,2369,81654261,34465
06023,1990,71,Local Government,"Total, all industries",79,6000,125322213,20887
06023,1990,71,Private,"Total, all industries",3754,35090,659124078,18784
06037,1990,70,Total Covered,"Total, all industries",214034,4288861,120410111308,28075
06037,1990,71,Federal Government,"Total, all industries",306,82714,2459878062,29739
06037,1990,71,State Government,"Total, all industries",1916,61169,1817343921,29710
06037,1990,71,Local Government,"Total, all industries",502,382196,12123177514,31720
06037,1990,71,Private,"Total, all industries",211310,3762779,104009688335,27642
06041,1990,70,Total Covered,"Total, all industries",8706,97553,2547976679,26119
06041,1990,71,Federal Government,"Total, all industries",30,935,30090259,32185
06041,1990,71,State Government,"Total, all industries",33,1187,49463591,41677
06041,1990,71,Local Government,"Total, all industries",75,10049,261541367,26026
06041,1990,71,Private,"Total, all industries",8569,85382,2206881462,25847
06045,1990,70,Total Covered,"Total, all industries",2983,29175,539802043,18503
06045,1990,71,Federal Government,"Total, all industries",35,338,9317584,27601
06045,1990,71,State Government,"Total, all industries",20,328,11679369,35653
06045,1990,71,Local Government,"Total, all industries",59,4535,102981380,22706
06045,1990,71,Private,"Total, all industries",2869,23974,415823710,17345
06053,1990,70,Total Covered,"Total, all industries",8473,141924,2854144455,20110
06053,1990,71,Federal Government,"Total, all industries",68,7693,156254780,20311
06053,1990,71,State Government,"Total, all industries",48,890,31213962,35069
