area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1991,70,Total Covered,"Total, all industries",2513,29002,458458444,15808
01003,1991,71,Federal Government,"Total, all industries",27,189,5310252,28109
01003,1991,71,State Government,"Total, all industries",27,984,18057962,18347
01003,1991,71,Local Government,"Total, all industries",76,4285,80284322,18736
01003,1991,71,Private,"Total, all industries",2383,23543,354805908,15070
01097,1991,70,Total Covered,"Total, all industries",8523,149266,3247473523,21756
01097,1991,71,Federal Government,"Total, all industries",49,2933,99549943,33941
01097,1991,71,State Government,"Total, all industries",49,8374,201805996,24098
01097,1991,71,Local Government,"Total, all industries",50,13060,269712874,20652
01097,1991,71,Private,"Total, all industries",8376,124899,2676404710,21429
02013,1991,70,Total Covered,"Total, all industries",63,1672,41065695,24566
02013,1991,71,Federal Government,"Total, all industries",6,26,1049714,40245
02013,1991,71,Private,"Total, all industries",39,1400,32828625,23457
02016,1991,70,Total Covered,"Total, all industries",170,4576,128655136,28113
02016,1991,71,Federal Government,"Total, all industries",17,792,15141838,19127
02016,1991,71,State Government,"Total, all industries",9,37,919476,24907
02016,1991,71,Local Government,"Total, all industries",8,410,14415820,35168
02016,1991,71,Private,"Total, all industries",136,3338,98178002,29413
02020,1991,70,Total Covered,"Total, all industries",6104,111840,3561341559,31843
02020,1991,71,Federal Government,"Total, all industries",67,10668,376874904,35327
02020,1991,71,Private,"Total, all industries",5983,85201,2570578029,30171
02050,1991,70,Total Covered,"Total, all industries",293,4301,104286075,24249
02050,1991,71,Federal Government,"Total, all industries",15,295,10111651,34306
02050,1991,71,State Government,"Total, all industries",29,343,15422083,44984
02050,1991,71,Local Government,"Total, all industries",41,1595,38400096,24080
02050,1991,71,Private,"Total, all industries",209,2068,40352245,19510
02060,1991,70,Total Covered,"Total, all industries",86,1017,29707367,29208
02060,1991,71,Federal Government,"Total, all industries",8,88,2586925,29341
02060,1991,71,Private,"Total, all industries",66,613,16951933,27635
02070,1991,70,Total Covered,"Total, all industries",138,1905,48534579,25475
02070,1991,71,Federal Government,"Total, all industries",7,55,1735310,31314
