area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,2017,70,Total Covered,"10 Total, all industries",6072,71999,2542347527,35311
01003,2017,71,Federal Government,"10 Total, all industries",32,346,20092870,58114
01003,2017,71,State Government,"10 Total, all industries",39,1223,45680056,37361
01003,2017,71,Local Government,"10 Total, all industries",84,7825,318226041,40670
01003,2017,71,Private,"10 Total, all industries",5918,62606,2158348560,34475
01097,2017,70,Total Covered,"10 Total, all industries",10134,170070,7912260702,46524
01097,2017,71,Federal Government,"10 Total, all industries",70,2555,199970786,78254
01097,2017,71,State Government,"10 Total, all industries",63,6301,360351614,57193
01097,2017,71,Local Government,"10 Total, all industries",213,15294,588437171,38474
01097,2017,71,Private,"10 Total, all industries",9789,145920,6763501131,46351
02013,2017,70,Total Covered,"10 Total, all industries",102,2394,130810556,54651
02013,2017,71,Federal Government,"10 Total, all industries",8,18,1376231,74727
02013,2017,71,State Government,"10 Total, all industries",12,19,917433,48286
02013,2017,71,Local Government,"10 Total, all industries",17,217,8614632,39684
02013,2017,71,Private,"10 Total, all industries",64,2139,119902260,56053
02016,2017,70,Total Covered,"10 Total, all industries",176,3385,199411816,58906
02016,2017,71,Federal Government,"10 Total, all industries",5,15,1191272,77692
02016,2017,71,State Government,"10 Total, all industries",15,27,2044583,75261
02016,2017,71,Local Government,"10 Total, all industries",14,428,21964979,51350
02016,2017,71,Private,"10 Total, all industries",142,2915,174210982,59764
02020,2017,70,Total Covered,"10 Total, all industries",8196,148964,8376058601,56229
02020,2017,71,Federal Government,"10 Total, all industries",104,8445,701286326,83038
02020,2017,71,State Government,"10 Total, all industries",59,0,0,0
02020,2017,71,Local Government,"10 Total, all industries",12,0,0,0
02020,2017,71,Private,"10 Total, all industries",8021,121901,6563836845,53846
02050,2017,70,Total Covered,"10 Total, all industries",349,6988,289515952,41431
02050,2017,71,Federal Government,"10 Total, all industries",25,75,3927159,52188
02050,2017,71,State Government,"10 Total, all industries",46,304,23101906,75993
02050,2017,71,Local Government,"10 Total, all industries",75,2562,85261491,33274
02050,2017,71,Private,"10 Total, all industries",203,4046,177225396,43801
02060,2017,70,Total Covered,"10 Total, all industries",114,1207,60659574,50239
02060,2017,71,Federal Government,"10 Total, all industries",7,50,3614826,71699
