area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1981,26,Total Covered,All Industries,1833,18536,199458812,10760
01003,1981,27,Federal Government,All Industries,11,140,2612847,18663
01003,1981,27,State Government,All Industries,19,529,7150578,13517
01003,1981,27,Local Government,All Industries,28,2880,30967841,10752
01003,1981,27,Private,All Industries,1775,14987,158727546,10591
01097,1981,26,Total Covered,All Industries,7499,130451,1927625110,14776
01097,1981,27,Federal Government,All Industries,24,2370,54408322,22957
01097,1981,27,State Government,All Industries,33,6607,95143565,14400
01097,1981,27,Local Government,All Industries,46,12864,147405262,11458
01097,1981,27,Private,All Industries,7396,108610,1630667961,15013
02020,1981,26,Total Covered,All Industries,5205,85161,2128899283,24998
02020,1981,27,Federal Government,All Industries,59,9574,231713153,24202
02020,1981,27,State Government,All Industries,24,5392,153368032,28443
02020,1981,27,Local Government,All Industries,5,7222,207595297,28744
02020,1981,27,Private,All Industries,5117,62973,1536222801,24394
02050,1981,26,Total Covered,All Industries,228,3085,54567650,17688
02050,1981,27,Federal Government,All Industries,18,394,7735015,19632
02050,1981,27,State Government,All Industries,14,210,6065227,28882
02050,1981,27,Local Government,All Industries,29,832,14757200,17737
02050,1981,27,Private,All Industries,167,1649,26010208,15773
02060,1981,26,Total Covered,All Industries,61,758,19010672,25080
02060,1981,27,Federal Government,All Industries,9,83,2164348,26076
02060,1981,27,State Government,All Industries,5,21,776950,36997
02060,1981,27,Local Government,All Industries,6,238,5097604,21418
02060,1981,27,Private,All Industries,41,416,10971770,26374
02070,1981,26,Total Covered,All Industries,135,1603,34209159,21340
02070,1981,27,Federal Government,All Industries,8,91,1892621,20798
02070,1981,27,State Government,All Industries,10,61,1849577,30320
02070,1981,27,Local Government,All Industries,10,306,6615205,21618
02070,1981,27,Private,All Industries,107,1145,23851756,20831
02100,1981,26,Total Covered,All Industries,87,532,10227827,19225
02100,1981,27,Federal Government,All Industries,5,8,195624,24453
02100,1981,27,State Government,All Industries,7,40,1199315,29982
02100,1981,27,Local Government,All Industries,3,104,2483232,23877
02100,1981,27,Private,All Industries,72,380,6349656,16709
02110,1981,26,Total Covered,All Industries,723,11296,284237946,25162
02110,1981,27,Federal Government,All Industries,25,1011,26723599,26432
02110,1981,27,State Government,All Industries,40,4006,118789375,29652
02110,1981,27,Local Government,All Industries,4,1037,25449973,24541
02110,1981,27,Private,All Industries,654,5242,113274999,21609
02130,1981,26,Total Covered,All Industries,464,6330,133608216,21107
02130,1981,27,Federal Government,All Industries,12,321,7863774,24497
02130,1981,27,State Government,All Industries,16,438,13631895,31123
02130,1981,27,Local Government,All Industries,8,742,17618451,23744
02130,1981,27,Private,All Industries,428,4829,94494096,19568
02150,1981,26,Total Covered,All Industries,368,4334,85573096,19744
02150,1981,27,Federal Government,All Industries,9,257,7834358,30483
02150,1981,27,State Government,All Industries,13,248,6873859,27717
02150,1981,27,Local Government,All Industries,11,528,11618390,22004
02150,1981,27,Private,All Industries,335,3301,59246489,17948
02170,1981,26,Total Covered,All Industries,412,3588,77019079,21465
02170,1981,27,Federal Government,All Industries,18,104,2725524,26206
02170,1981,27,State Government,All Industries,15,456,12342433,27066
02170,1981,27,Local Government,All Industries,7,797,17784703,22314
02170,1981,27,Private,All Industries,372,2231,44166419,19796
02180,1981,26,Total Covered,All Industries,194,2129,42692648,20052
02180,1981,27,Federal Government,All Industries,14,145,3149803,21722
02180,1981,27,State Government,All Industries,17,186,6409135,34457
02180,1981,27,Local Government,All Industries,27,502,9644871,19212
02180,1981,27,Private,All Industries,136,1296,23488839,18124
02220,1981,26,Total Covered,All Industries,282,3715,92552656,24913
02220,1981,27,Federal Government,All Industries,9,576,12493409,21689
02220,1981,27,State Government,All Industries,12,219,5424417,24769
02220,1981,27,Local Government,All Industries,4,364,9325162,25618
02220,1981,27,Private,All Industries,257,2556,65309668,25551
02230,1981,26,Total Covered,All Industries,122,991,18062843,18226
02230,1981,27,Federal Government,All Industries,15,72,1733951,24082
02230,1981,27,State Government,All Industries,5,23,729118,31700
02230,1981,27,Local Government,All Industries,9,172,3507685,20393
02230,1981,27,Private,All Industries,93,724,12092089,16701
02270,1981,26,Total Covered,All Industries,91,1055,17691778,16769
02270,1981,27,Federal Government,All Industries,8,152,3309557,21773
02270,1981,27,State Government,All Industries,6,16,434883,27180
02270,1981,27,Local Government,All Industries,18,452,7978897,17652
02270,1981,27,Private,All Industries,59,435,5968441,13720
06001,1981,26,Total Covered,All Industries,22482,486307,8663735791,17815
06001,1981,27,Federal Government,All Industries,61,21265,494444787,23251
06001,1981,27,State Government,All Industries,257,33419,624714591,18693
06001,1981,27,Local Government,All Industries,133,54476,955618579,17542
06001,1981,27,Private,All Industries,22031,377147,6588957834,17470
06013,1981,26,Total Covered,All Industries,12252,202128,3359580406,16621
06013,1981,27,Federal Government,All Industries,22,6722,155260782,23097
06013,1981,27,State Government,All Industries,38,739,13920772,18837
06013,1981,27,Local Government,All Industries,99,31724,499199286,15735
06013,1981,27,Private,All Industries,12093,162943,2691199566,16516
06015,1981,26,Total Covered,All Industries,493,5531,77713083,14050
06015,1981,27,Federal Government,All Industries,6,169,3407719,20164
06015,1981,27,State Government,All Industries,10,110,1996998,18154
06015,1981,27,Local Government,All Industries,19,1162,15213523,13092
06015,1981,27,Private,All Industries,458,4090,57094843,13959
06023,1981,26,Total Covered,All Industries,3020,37485,524085246,13981
06023,1981,27,Federal Government,All Industries,17,886,16409012,18520
06023,1981,27,State Government,All Industries,217,2246,43605183,19414
06023,1981,27,Local Government,All Industries,89,5458,73998610,13557
06023,1981,27,Private,All Industries,2697,28895,390072441,13499
06037,1981,26,Total Covered,All Industries,163538,3648739,65135244031,17851
06037,1981,27,Federal Government,All Industries,82,70225,1639794268,23350
06037,1981,27,State Government,All Industries,1433,55605,983777331,17692
06037,1981,27,Local Government,All Industries,445,335451,6067812697,18088
06037,1981,27,Private,All Industries,161578,3187458,56443859735,17708
06041,1981,26,Total Covered,All Industries,6307,73446,1101754054,15000
06041,1981,27,Federal Government,All Industries,12,995,22685344,22799
06041,1981,27,State Government,All Industries,32,1162,26916355,23163
06041,1981,27,Local Government,All Industries,77,10289,155596015,15122
06041,1981,27,Private,All Industries,6186,61000,896556340,14697
06045,1981,26,Total Covered,All Industries,2112,23089,293864981,12727
06045,1981,27,Federal Government,All Industries,14,380,6785935,17857
06045,1981,27,State Government,All Industries,24,364,6909995,18983
06045,1981,27,Local Government,All Industries,59,4213,54618521,12964
06045,1981,27,Private,All Industries,2015,18132,225550530,12439
06053,1981,26,Total Covered,All Industries,6497,111258,1561407466,14034
06053,1981,27,Federal Government,All Industries,34,7292,119985730,16454
06053,1981,27,State Government,All Industries,75,1661,36216319,21803
06053,1981,27,Local Government,All Industries,112,13574,215925984,15907
06053,1981,27,Private,All Industries,6276,88731,1189279433,13403
06055,1981,26,Total Covered,All Industries,2481,34436,472522031,13721
06055,1981,27,Federal Government,All Industries,7,251,6067579,24173
06055,1981,27,State Government,All Industries,97,3296,59796102,18142
06055,1981,27,Local Government,All Industries,30,4062,57818765,14234
06055,1981,27,Private,All Industries,2347,26827,348839585,13003
06059,1981,26,Total Covered,All Industries,41049,879274,14498756024,16489
06059,1981,27,Federal Government,All Industries,31,12515,248977431,19894
06059,1981,27,State Government,All Industries,277,14636,250523500,17116
06059,1981,27,Local Government,All Industries,225,75636,1248807522,16510
06059,1981,27,Private,All Industries,40516,776487,12750447571,16420
06073,1981,26,Total Covered,All Industries,34568,676246,10424315290,15414
06073,1981,27,Federal Government,All Industries,119,41684,831844487,19955
06073,1981,27,State Government,All Industries,335,18754,330770111,17637
06073,1981,27,Local Government,All Industries,179,78220,1234462728,15781
06073,1981,27,Private,All Industries,33935,537588,8027237964,14931
06075,1981,26,Total Covered,All Industries,25250,563506,10797969557,19162
06075,1981,27,Federal Government,All Industries,71,29551,660256343,22342
06075,1981,27,State Government,All Industries,567,21330,419613818,19672
06075,1981,27,Local Government,All Industries,32,37267,699589076,18772
06075,1981,27,Private,All Industries,24580,475358,9018510320,18972
06079,1981,26,Total Covered,All Industries,3979,48404,642999879,13284
06079,1981,27,Federal Government,All Industries,16,611,12857777,21043
06079,1981,27,State Government,All Industries,265,4633,96628978,20856
06079,1981,27,Local Government,All Industries,62,5878,88795801,15106
06079,1981,27,Private,All Industries,3636,37282,444717323,11928
06081,1981,26,Total Covered,All Industries,12692,252532,4747022607,18797
06081,1981,27,Federal Government,All Industries,19,6076,135576206,22313
06081,1981,27,State Government,All Industries,43,760,14996107,19731
06081,1981,27,Local Government,All Industries,126,23569,409737665,17384
06081,1981,27,Private,All Industries,12504,222127,4186712629,18848
06083,1981,26,Total Covered,All Industries,7768,131497,1924574800,14635
06083,1981,27,Federal Government,All Industries,23,3947,80313314,20347
06083,1981,27,State Government,All Industries,50,6718,78703781,11715
06083,1981,27,Local Government,All Industries,102,14175,205659283,14508
06083,1981,27,Private,All Industries,7593,106657,1559898422,14625
06085,1981,26,Total Covered,All Industries,26511,694564,12958363612,18656
06085,1981,27,Federal Government,All Industries,38,11145,264090538,23695
